date,sku,spend,sales,clicks,impressions
2024-03-18,SKU-004,409,1280,29,2500
2024-03-25,SKU-001,292,1243,34,1800
2024-03-25,SKU-002,300,1173,28,2080
2024-03-25,SKU-003,318,1132,40,2360
2024-03-25,SKU-004,428,1373,34,2640
2024-04-01,SKU-001,310,1345,36,1940
2024-04-01,SKU-002,317,1264,31,2220
2024-04-01,SKU-003,334,1215,44,2500
2024-04-01,SKU-004,448,1473,39,2780
2024-04-08,SKU-001,328,1449,38,2080
2024-04-08,SKU-002,333,1355,34,2360
2024-04-08,SKU-003,350,1301,30,2640
2024-04-08,SKU-004,467,1573,44,2920
2024-04-15,SKU-001,346,1418,40,2220
2024-04-15,SKU-002,350,1312,37,2500
2024-04-15,SKU-003,366,1244,34,2780
2024-04-15,SKU-004,487,1485,31,3060
2024-04-22,SKU-001,220,919,42,2360
2024-04-22,SKU-002,234,896,40,2640
2024-04-22,SKU-003,255,887,38,2920
2024-04-22,SKU-004,351,1098,36,3200
2024-04-29,SKU-001,238,1013,44,2500
2024-04-29,SKU-002,251,981,43,2780
2024-04-29,SKU-003,271,964,42,3060
2024-04-29,SKU-004,370,1187,41,3340
2024-05-06,SKU-001,256,1111,28,2640
2024-05-06,SKU-002,267,1065,28,2920
2024-05-06,SKU-003,286,1041,28,3200
2024-05-06,SKU-004,389,1279,28,1800
2024-05-13,SKU-001,274,1211,30,2780
2024-05-13,SKU-002,284,1155,31,3060
2024-05-13,SKU-003,302,1123,32,3340
2024-05-13,SKU-004,409,1378,33,1940
2024-05-20,SKU-001,292,1197,32,2920
2024-05-20,SKU-002,300,1124,34,3200
2024-05-20,SKU-003,318,1081,36,1800
2024-05-20,SKU-004,428,1305,38,2080
2024-05-27,SKU-001,310,1295,34,3060
2024-05-27,SKU-002,317,1214,37,3340
2024-05-27,SKU-003,334,1162,40,1940
2024-05-27,SKU-004,448,1402,43,2220
2024-06-03,SKU-001,328,1397,36,3200
2024-06-03,SKU-002,333,1302,40,1800
2024-06-03,SKU-003,350,1245,44,2080
2024-06-03,SKU-004,467,1499,30,2360
2024-06-10,SKU-001,346,1501,38,3340
2024-06-10,SKU-002,350,1396,43,1940
2024-06-10,SKU-003,366,1332,30,2220
2024-06-10,SKU-004,487,1602,35,2500
2024-06-17,SKU-001,220,972,40,1800
2024-06-17,SKU-002,234,952,28,2080
2024-06-17,SKU-003,255,948,34,2360
2024-06-17,SKU-004,351,1182,40,2640
2024-06-24,SKU-001,238,975,42,1940
2024-06-24,SKU-002,251,941,31,2220
2024-06-24,SKU-003,271,921,38,2500
2024-06-24,SKU-004,370,1128,45,2780
2024-07-01,SKU-001,256,1070,44,2080
2024-07-01,SKU-002,267,1022,34,2360
2024-07-01,SKU-003,286,995,42,2640
2024-07-01,SKU-004,389,1217,32,2920
2024-07-08,SKU-001,274,1167,28,2220
2024-07-08,SKU-002,284,1110,37,2500
2024-07-08,SKU-003,302,1075,28,2780
2024-07-08,SKU-004,409,1312,37,3060
2024-07-15,SKU-001,292,1267,30,2360
2024-07-15,SKU-002,300,1196,40,2640
2024-07-15,SKU-003,318,1157,32,2920
2024-07-15,SKU-004,428,1408,42,3200
2024-07-22,SKU-001,310,1370,32,2500
2024-07-22,SKU-002,317,1290,43,2780
2024-07-22,SKU-003,334,1242,36,3060
2024-07-22,SKU-004,448,1509,29,3340
2024-07-29,SKU-001,328,1344,34,2640
2024-07-29,SKU-002,333,1248,28,2920
2024-07-29,SKU-003,350,1189,40,3200
2024-07-29,SKU-004,467,1424,34,1800
2024-08-05,SKU-001,346,1446,36,2780
2024-08-05,SKU-002,350,1340,31,3060
2024-08-05,SKU-003,366,1273,44,3340
2024-08-05,SKU-004,487,1524,39,1940
2024-08-12,SKU-001,220,937,38,2920
2024-08-12,SKU-002,234,914,34,3200
2024-08-12,SKU-003,255,907,30,1800
2024-08-12,SKU-004,351,1126,44,2080
2024-08-19,SKU-001,238,1032,40,3060
2024-08-19,SKU-002,251,1001,37,3340
2024-08-19,SKU-003,271,986,34,1940
2024-08-19,SKU-004,370,1217,31,2220
2024-08-26,SKU-001,256,1131,42,3200
2024-08-26,SKU-002,267,1086,40,1800
2024-08-26,SKU-003,286,1063,38,2080
2024-08-26,SKU-004,389,1310,36,2360
2024-09-02,SKU-001,274,1123,44,3340
2024-09-02,SKU-002,284,1064,43,1940
2024-09-02,SKU-003,302,1026,42,2220
2024-09-02,SKU-004,409,1247,41,2500
2024-09-09,SKU-001,292,1220,28,1800
2024-09-09,SKU-002,300,1149,28,2080
2024-09-09,SKU-003,318,1106,28,2360
2024-09-09,SKU-004,428,1339,28,2640
2024-09-16,SKU-001,310,1320,30,1940
2024-09-16,SKU-002,317,1239,31,2220
2024-09-16,SKU-003,334,1189,32,2500
2024-09-16,SKU-004,448,1438,33,2780
2024-09-23,SKU-001,328,1423,32,2080
2024-09-23,SKU-002,333,1328,34,2360
2024-09-23,SKU-003,350,1274,36,2640
2024-09-23,SKU-004,467,1536,38,2920
2024-09-30,SKU-001,346,1529,34,2220
2024-09-30,SKU-002,350,1424,37,2500
2024-09-30,SKU-003,366,1361,40,2780
2024-09-30,SKU-004,487,1641,43,3060
2024-10-07,SKU-001,220,901,36,2360
2024-10-07,SKU-002,234,877,40,2640
2024-10-07,SKU-003,255,866,44,2920
2024-10-07,SKU-004,351,1070,30,3200
2024-10-14,SKU-001,238,994,38,2500
2024-10-14,SKU-002,251,961,43,2780
2024-10-14,SKU-003,271,943,30,3060
2024-10-14,SKU-004,370,1158,35,3340
2024-10-21,SKU-001,256,1090,40,2640
2024-10-21,SKU-002,267,1043,28,2920
2024-10-21,SKU-003,286,1018,34,3200
2024-10-21,SKU-004,389,1248,40,1800
2024-10-28,SKU-001,274,1189,42,2780
2024-10-28,SKU-002,284,1133,31,3060
2024-10-28,SKU-003,302,1099,38,3340
2024-10-28,SKU-004,409,1345,45,1940
2024-11-04,SKU-001,292,1290,44,2920
2024-11-04,SKU-002,300,1220,34,3200
2024-11-04,SKU-003,318,1182,42,1800
2024-11-04,SKU-004,428,1442,32,2080
2024-11-11,SKU-001,310,1271,28,3060
2024-11-11,SKU-002,317,1188,37,3340
2024-11-11,SKU-003,334,1135,28,1940
2024-11-11,SKU-004,448,1366,37,2220
2024-11-18,SKU-001,328,1371,30,3200
2024-11-18,SKU-002,333,1275,40,1800
2024-11-18,SKU-003,350,1217,32,2080
2024-11-18,SKU-004,467,1461,42,2360
2024-11-25,SKU-001,346,1473,32,3340
2024-11-25,SKU-002,350,1368,43,1940
2024-11-25,SKU-003,366,1302,36,2220
2024-11-25,SKU-004,487,1563,29,2500
2024-12-02,SKU-001,220,954,34,1800
2024-12-02,SKU-002,234,933,28,2080
2024-12-02,SKU-003,255,928,40,2360
2024-12-02,SKU-004,351,1154,34,2640
2024-12-09,SKU-001,238,1051,36,1940
2024-12-09,SKU-002,251,1021,31,2220
2024-12-09,SKU-003,271,1008,44,2500
2024-12-09,SKU-004,370,1246,39,2780
2024-12-16,SKU-001,256,1049,38,2080
2024-12-16,SKU-002,267,1001,34,2360
2024-12-16,SKU-003,286,972,30,2640
2024-12-16,SKU-004,389,1186,44,2920
2024-12-23,SKU-001,274,1145,40,2220
2024-12-23,SKU-002,284,1087,37,2500
2024-12-23,SKU-003,302,1050,34,2780
2024-12-23,SKU-004,409,1280,31,3060
2024-12-30,SKU-001,292,1243,42,2360
2024-12-30,SKU-002,300,1173,40,2640
2024-12-30,SKU-003,318,1132,38,2920
2024-12-30,SKU-004,428,1373,36,3200
2025-01-06,SKU-001,310,1345,44,2500
2025-01-06,SKU-002,317,1264,43,2780
2025-01-06,SKU-003,334,1215,42,3060
2025-01-06,SKU-004,448,1473,41,3340
2025-01-13,SKU-001,328,1449,28,2640
2025-01-13,SKU-002,333,1355,28,2920
2025-01-13,SKU-003,350,1301,28,3200
2025-01-13,SKU-004,467,1573,28,1800
2025-01-20,SKU-001,346,1418,30,2780
2025-01-20,SKU-002,350,1312,31,3060
2025-01-20,SKU-003,366,1244,32,3340
2025-01-20,SKU-004,487,1485,33,1940
2025-01-27,SKU-001,220,919,32,2920
2025-01-27,SKU-002,234,896,34,3200
2025-01-27,SKU-003,255,887,36,1800
2025-01-27,SKU-004,351,1098,38,2080
2025-02-03,SKU-001,238,1013,34,3060
2025-02-03,SKU-002,251,981,37,3340
2025-02-03,SKU-003,271,964,40,1940
2025-02-03,SKU-004,370,1187,43,2220
2025-02-10,SKU-001,256,1111,36,3200
2025-02-10,SKU-002,267,1065,40,1800
2025-02-10,SKU-003,286,1041,44,2080
2025-02-10,SKU-004,389,1279,30,2360
2025-02-17,SKU-001,274,1211,38,3340
2025-02-17,SKU-002,284,1155,43,1940
2025-02-17,SKU-003,302,1123,30,2220
2025-02-17,SKU-004,409,1378,35,2500
2025-02-24,SKU-001,292,1197,40,1800
2025-02-24,SKU-002,300,1124,28,2080
2025-02-24,SKU-003,318,1081,34,2360
2025-02-24,SKU-004,428,1305,40,2640
2025-03-03,SKU-001,310,1295,42,1940
2025-03-03,SKU-002,317,1214,31,2220
2025-03-03,SKU-003,334,1162,38,2500
2025-03-03,SKU-004,448,1402,45,2780
2025-03-10,SKU-001,328,1397,44,2080
2025-03-10,SKU-002,333,1302,34,2360
2025-03-10,SKU-003,350,1245,42,2640
2025-03-10,SKU-004,467,1499,32,2920
2025-03-17,SKU-001,346,1501,28,2220
2025-03-17,SKU-002,350,1396,37,2500
2025-03-17,SKU-003,366,1332,28,2780
2025-03-17,SKU-004,487,1602,37,3060
2025-03-24,SKU-001,220,972,30,2360
2025-03-24,SKU-002,234,952,40,2640
2025-03-24,SKU-003,255,948,32,2920
2025-03-24,SKU-004,351,1182,42,3200
2025-03-31,SKU-001,238,975,32,2500
2025-03-31,SKU-002,251,941,43,2780
2025-03-31,SKU-003,271,921,36,3060
2025-03-31,SKU-004,370,1128,29,3340
2025-04-07,SKU-001,256,1070,34,2640
2025-04-07,SKU-002,267,1022,28,2920
2025-04-07,SKU-003,286,995,40,3200
2025-04-07,SKU-004,389,1217,34,1800
2025-04-14,SKU-001,274,1167,36,2780
2025-04-14,SKU-002,284,1110,31,3060
2025-04-14,SKU-003,302,1075,44,3340
2025-04-14,SKU-004,409,1312,39,1940
2025-04-21,SKU-001,292,1267,38,2920
2025-04-21,SKU-002,300,1196,34,3200
2025-04-21,SKU-003,318,1157,30,1800
2025-04-21,SKU-004,428,1408,44,2080
2025-04-28,SKU-001,310,1370,40,3060
2025-04-28,SKU-002,317,1290,37,3340
2025-04-28,SKU-003,334,1242,34,1940
2025-04-28,SKU-004,448,1509,31,2220
2025-05-05,SKU-001,328,1344,42,3200
2025-05-05,SKU-002,333,1248,40,1800
2025-05-05,SKU-003,350,1189,38,2080
2025-05-05,SKU-004,467,1424,36,2360
2025-05-12,SKU-001,346,1446,44,3340
2025-05-12,SKU-002,350,1340,43,1940
2025-05-12,SKU-003,366,1273,42,2220
2025-05-12,SKU-004,487,1524,41,2500
2025-05-19,SKU-001,220,937,28,1800
2025-05-19,SKU-002,234,914,28,2080
2025-05-19,SKU-003,255,907,28,2360
2025-05-19,SKU-004,351,1126,28,2640
2025-05-26,SKU-001,238,1032,30,1940
2025-05-26,SKU-002,251,1001,31,2220
2025-05-26,SKU-003,271,986,32,2500
2025-05-26,SKU-004,370,1217,33,2780
2025-06-02,SKU-001,256,1131,32,2080
2025-06-02,SKU-002,267,1086,34,2360
2025-06-02,SKU-003,286,1063,36,2640
2025-06-02,SKU-004,389,1310,38,2920
2025-06-09,SKU-001,274,1123,34,2220
2025-06-09,SKU-002,284,1064,37,2500
2025-06-09,SKU-003,302,1026,40,2780
2025-06-09,SKU-004,409,1247,43,3060
2025-06-16,SKU-001,292,1220,36,2360
2025-06-16,SKU-002,300,1149,40,2640
2025-06-16,SKU-003,318,1106,44,2920
2025-06-16,SKU-004,428,1339,30,3200
2025-06-23,SKU-001,310,1320,38,2500
2025-06-23,SKU-002,317,1239,43,2780
2025-06-23,SKU-003,334,1189,30,3060
2025-06-23,SKU-004,448,1438,35,3340
2025-06-30,SKU-001,328,1423,40,2640
2025-06-30,SKU-002,333,1328,28,2920
2025-06-30,SKU-003,350,1274,34,3200
2025-06-30,SKU-004,467,1536,40,1800
2025-07-07,SKU-001,346,1529,42,2780
2025-07-07,SKU-002,350,1424,31,3060
2025-07-07,SKU-003,366,1361,38,3340
2025-07-07,SKU-004,487,1641,45,1940
2025-07-14,SKU-001,220,901,44,2920
2025-07-14,SKU-002,234,877,34,3200
2025-07-14,SKU-003,255,866,42,1800
2025-07-14,SKU-004,351,1070,32,2080
2025-07-21,SKU-001,238,994,28,3060
2025-07-21,SKU-002,251,961,37,3340
2025-07-21,SKU-003,271,943,28,1940
2025-07-21,SKU-004,370,1158,37,2220
2025-07-28,SKU-001,256,1090,30,3200
2025-07-28,SKU-002,267,1043,40,1800
2025-07-28,SKU-003,286,1018,32,2080
2025-07-28,SKU-004,389,1248,42,2360
2025-08-04,SKU-001,274,1189,32,3340
2025-08-04,SKU-002,284,1133,43,1940
2025-08-04,SKU-003,302,1099,36,2220
2025-08-04,SKU-004,409,1345,29,2500
2025-08-11,SKU-001,292,1290,34,1800
2025-08-11,SKU-002,300,1220,28,2080
2025-08-11,SKU-003,318,1182,40,2360
2025-08-11,SKU-004,428,1442,34,2640
2025-08-18,SKU-001,310,1271,36,1940
2025-08-18,SKU-002,317,1188,31,2220
2025-08-18,SKU-003,334,1135,44,2500
2025-08-18,SKU-004,448,1366,39,2780
2025-08-25,SKU-001,328,1371,38,2080
2025-08-25,SKU-002,333,1275,34,2360
2025-08-25,SKU-003,350,1217,30,2640
2025-08-25,SKU-004,467,1461,44,2920
2025-09-01,SKU-001,346,1473,40,2220
2025-09-01,SKU-002,350,1368,37,2500
2025-09-01,SKU-003,366,1302,34,2780
2025-09-01,SKU-004,487,1563,31,3060
2025-09-08,SKU-001,220,954,42,2360
2025-09-08,SKU-002,234,933,40,2640
2025-09-08,SKU-003,255,928,38,2920
2025-09-08,SKU-004,351,1154,36,3200
2025-09-15,SKU-001,238,1051,44,2500
2025-09-15,SKU-002,251,1021,43,2780
2025-09-15,SKU-003,271,1008,42,3060
2025-09-15,SKU-004,370,1246,41,3340
2025-09-22,SKU-001,256,1049,28,2640
2025-09-22,SKU-002,267,1001,28,2920
2025-09-22,SKU-003,286,972,28,3200
2025-09-22,SKU-004,389,1186,28,1800
2025-09-29,SKU-001,274,1145,30,2780
2025-09-29,SKU-002,284,1087,31,3060
2025-09-29,SKU-003,302,1050,32,3340
2025-09-29,SKU-004,409,1280,33,1940
2025-10-06,SKU-001,292,1243,32,2920
2025-10-06,SKU-002,300,1173,34,3200
2025-10-06,SKU-003,318,1132,36,1800
2025-10-06,SKU-004,428,1373,38,2080
2025-10-13,SKU-001,310,1345,34,3060
2025-10-13,SKU-002,317,1264,37,3340
2025-10-13,SKU-003,334,1215,40,1940
2025-10-13,SKU-004,448,1473,43,2220
2025-10-20,SKU-001,328,1449,36,3200
2025-10-20,SKU-002,333,1355,40,1800
2025-10-20,SKU-003,350,1301,44,2080
2025-10-20,SKU-004,467,1573,30,2360
2025-10-27,SKU-001,346,1418,38,3340
2025-10-27,SKU-002,350,1312,43,1940
2025-10-27,SKU-003,366,1244,30,2220
2025-10-27,SKU-004,487,1485,35,2500
2025-11-03,SKU-001,220,919,40,1800
2025-11-03,SKU-002,234,896,28,2080
2025-11-03,SKU-003,255,887,34,2360
2025-11-03,SKU-004,351,1098,40,2640
2025-11-10,SKU-001,238,1013,42,1940
2025-11-10,SKU-002,251,981,31,2220
2025-11-10,SKU-003,271,964,38,2500
2025-11-10,SKU-004,370,1187,45,2780
2025-11-17,SKU-001,256,1111,44,2080
2025-11-17,SKU-002,267,1065,34,2360
2025-11-17,SKU-003,286,1041,42,2640
2025-11-17,SKU-004,389,1279,32,2920
2025-11-24,SKU-001,274,1211,28,2220
2025-11-24,SKU-002,284,1155,37,2500
2025-11-24,SKU-003,302,1123,28,2780
2025-11-24,SKU-004,409,1378,37,3060
2025-12-01,SKU-001,292,1197,30,2360
2025-12-01,SKU-002,300,1124,40,2640
2025-12-01,SKU-003,318,1081,32,2920
2025-12-01,SKU-004,428,1305,42,3200
2025-12-08,SKU-001,310,1295,32,2500
2025-12-08,SKU-002,317,1214,43,2780
2025-12-08,SKU-003,334,1162,36,3060
2025-12-08,SKU-004,448,1402,29,3340
2025-12-15,SKU-001,328,1397,34,2640
2025-12-15,SKU-002,333,1302,28,2920
2025-12-15,SKU-003,350,1245,40,3200
2025-12-15,SKU-004,467,1499,34,1800
2025-12-22,SKU-001,346,1501,36,2780
2025-12-22,SKU-002,350,1396,31,3060
2025-12-22,SKU-003,366,1332,44,3340
2025-12-22,SKU-004,487,1602,39,1940
2025-12-29,SKU-001,220,972,38,2920
2025-12-29,SKU-002,234,952,34,3200
2025-12-29,SKU-003,255,948,30,1800
2025-12-29,SKU-004,351,1182,44,2080
2026-01-05,SKU-001,238,975,40,3060
2026-01-05,SKU-002,251,941,37,3340
2026-01-05,SKU-003,271,921,34,1940
2026-01-05,SKU-004,370,1128,31,2220
2026-01-12,SKU-001,256,1070,42,3200
2026-01-12,SKU-002,267,1022,40,1800
2026-01-12,SKU-003,286,995,38,2080
2026-01-12,SKU-004,389,1217,36,2360
2026-01-19,SKU-001,274,1167,44,3340
2026-01-19,SKU-002,284,1110,43,1940
2026-01-19,SKU-003,302,1075,42,2220
2026-01-19,SKU-004,409,1312,41,2500
2026-01-26,SKU-001,292,1267,28,1800
2026-01-26,SKU-002,300,1196,28,2080
2026-01-26,SKU-003,318,1157,28,2360
2026-01-26,SKU-004,428,1408,28,2640
2026-02-02,SKU-001,310,1370,30,1940
2026-02-02,SKU-002,317,1290,31,2220
2026-02-02,SKU-003,334,1242,32,2500
2026-02-02,SKU-004,448,1509,33,2780
2026-02-09,SKU-001,328,1344,32,2080
2026-02-09,SKU-002,333,1248,34,2360
2026-02-09,SKU-003,350,1189,36,2640
2026-02-09,SKU-004,467,1424,38,2920
2026-02-16,SKU-001,346,1446,34,2220
2026-02-16,SKU-002,350,1340,37,2500
2026-02-16,SKU-003,366,1273,40,2780
2026-02-16,SKU-004,487,1524,43,3060
2026-02-23,SKU-001,220,937,36,2360
2026-02-23,SKU-002,234,914,40,2640
2026-02-23,SKU-003,255,907,44,2920
2026-02-23,SKU-004,351,1126,30,3200
2026-03-02,SKU-001,238,1032,38,2500
2026-03-02,SKU-002,251,1001,43,2780
2026-03-02,SKU-003,271,986,30,3060
2026-03-02,SKU-004,370,1217,35,3340
2026-03-09,SKU-001,256,1131,40,2640
2026-03-09,SKU-002,267,1086,28,2920
2026-03-09,SKU-003,286,1063,34,3200
2026-03-09,SKU-004,389,1310,40,1800
2026-03-16,SKU-001,274,1123,42,2780
2026-03-16,SKU-002,284,1064,31,3060
2026-03-16,SKU-003,302,1026,38,3340
2026-03-16,SKU-004,409,1247,45,1940
2026-03-23,SKU-001,292,1220,44,2920
2026-03-23,SKU-002,300,1149,34,3200
2026-03-23,SKU-003,318,1106,42,1800
2026-03-23,SKU-004,428,1339,32,2080
2026-03-30,SKU-001,310,1320,28,3060
2026-03-30,SKU-002,317,1239,37,3340
2026-03-30,SKU-003,334,1189,28,1940
2026-03-30,SKU-004,448,1438,37,2220
2026-04-06,SKU-001,328,1423,30,3200
2026-04-06,SKU-002,333,1328,40,1800
2026-04-06,SKU-003,350,1274,32,2080
2026-04-06,SKU-004,467,1536,42,2360
2026-04-13,SKU-001,346,1529,32,3340
2026-04-13,SKU-002,350,1424,43,1940
2026-04-13,SKU-003,366,1361,36,2220
2026-04-13,SKU-004,487,1641,29,2500
2026-04-20,SKU-001,220,901,34,1800
2026-04-20,SKU-002,234,877,28,2080
2026-04-20,SKU-003,255,866,40,2360
2026-04-20,SKU-004,351,1070,34,2640
