order_date,order_id,sku,units,revenue,fees,refund
2024-04-15,ORD0063,SKU-003,2,1981,316,79
2024-04-15,ORD0064,SKU-004,3,7064,1200,0
2024-04-22,ORD0065,SKU-001,1,1278,178,0
2024-04-22,ORD0066,SKU-002,2,3837,575,153
2024-04-22,ORD0067,SKU-003,3,3068,490,0
2024-04-22,ORD0068,SKU-004,4,9722,1652,0
2024-04-29,ORD0069,SKU-001,2,2637,369,105
2024-04-29,ORD0070,SKU-002,3,5936,890,0
2024-04-29,ORD0071,SKU-003,4,4218,674,0
2024-04-29,ORD0072,SKU-004,1,2506,426,0
2024-05-06,ORD0073,SKU-001,3,2997,419,0
2024-05-06,ORD0074,SKU-002,4,5996,899,0
2024-05-06,ORD0075,SKU-003,1,799,127,0
2024-05-06,ORD0076,SKU-004,2,3798,645,0
2024-05-13,ORD0077,SKU-001,4,4155,581,0
2024-05-13,ORD0078,SKU-002,1,1558,233,0
2024-05-13,ORD0079,SKU-003,2,1661,265,0
2024-05-13,ORD0080,SKU-004,3,5924,1007,473
2024-05-20,ORD0081,SKU-001,1,1078,150,0
2024-05-20,ORD0082,SKU-002,2,3237,485,0
2024-05-20,ORD0083,SKU-003,3,2588,414,207
2024-05-20,ORD0084,SKU-004,4,8203,1394,0
2024-05-27,ORD0085,SKU-001,2,2237,313,0
2024-05-27,ORD0086,SKU-002,3,5036,755,402
2024-05-27,ORD0087,SKU-003,4,3579,572,0
2024-05-27,ORD0088,SKU-004,1,2126,361,0
2024-06-03,ORD0089,SKU-001,3,3476,486,278
2024-06-03,ORD0090,SKU-002,4,6955,1043,0
2024-06-03,ORD0091,SKU-003,1,926,148,0
2024-06-03,ORD0092,SKU-004,2,4405,748,0
2024-06-10,ORD0093,SKU-001,4,4795,671,0
2024-06-10,ORD0094,SKU-002,1,1798,269,0
2024-06-10,ORD0095,SKU-003,2,1917,306,0
2024-06-10,ORD0096,SKU-004,3,6836,1162,0
2024-06-17,ORD0097,SKU-001,1,1238,173,0
2024-06-17,ORD0098,SKU-002,2,3717,557,0
2024-06-17,ORD0099,SKU-003,3,2972,475,0
2024-06-17,ORD0100,SKU-004,4,9419,1601,0
2024-06-24,ORD0101,SKU-001,2,2557,357,0
2024-06-24,ORD0102,SKU-002,3,5756,863,0
2024-06-24,ORD0103,SKU-003,4,4090,654,0
2024-06-24,ORD0104,SKU-004,1,2430,413,0
2024-07-01,ORD0105,SKU-001,3,3956,553,0
2024-07-01,ORD0106,SKU-002,4,7914,1187,0
2024-07-01,ORD0107,SKU-003,1,1054,168,0
2024-07-01,ORD0108,SKU-004,2,5013,852,0
2024-07-08,ORD0109,SKU-001,4,3996,559,0
2024-07-08,ORD0110,SKU-002,1,1499,224,0
2024-07-08,ORD0111,SKU-003,2,1598,255,0
2024-07-08,ORD0112,SKU-004,3,5697,968,0
2024-07-15,ORD0113,SKU-001,1,1038,145,0
2024-07-15,ORD0114,SKU-002,2,3117,467,0
2024-07-15,ORD0115,SKU-003,3,2492,398,0
2024-07-15,ORD0116,SKU-004,4,7899,1342,0
2024-07-22,ORD0117,SKU-001,2,2157,301,0
2024-07-22,ORD0118,SKU-002,3,4856,728,0
2024-07-22,ORD0119,SKU-003,4,3451,552,0
2024-07-22,ORD0120,SKU-004,1,2050,348,0
2024-07-29,ORD0121,SKU-001,3,3356,469,0
2024-07-29,ORD0122,SKU-002,4,6715,1007,0
2024-07-29,ORD0123,SKU-003,1,894,143,0
2024-07-29,ORD0124,SKU-004,2,4253,723,340
2024-08-05,ORD0125,SKU-001,4,4635,648,0
2024-08-05,ORD0126,SKU-002,1,1738,260,0
2024-08-05,ORD0127,SKU-003,2,1853,296,148
2024-08-05,ORD0128,SKU-004,3,6608,1123,264
2024-08-12,ORD0129,SKU-001,1,1198,167,0
2024-08-12,ORD0130,SKU-002,2,3597,539,287
2024-08-12,ORD0131,SKU-003,3,2876,460,115
2024-08-12,ORD0132,SKU-004,4,9115,1549,0
2024-08-19,ORD0133,SKU-001,2,2477,346,198
2024-08-19,ORD0134,SKU-002,3,5576,836,223
2024-08-19,ORD0135,SKU-003,4,3963,634,0
2024-08-19,ORD0136,SKU-004,1,2354,400,0
2024-08-26,ORD0137,SKU-001,3,3836,537,153
2024-08-26,ORD0138,SKU-002,4,7674,1151,0
2024-08-26,ORD0139,SKU-003,1,1022,163,0
2024-08-26,ORD0140,SKU-004,2,4861,826,0
2024-09-02,ORD0141,SKU-001,4,5274,738,0
2024-09-02,ORD0142,SKU-002,1,1978,296,0
2024-09-02,ORD0143,SKU-003,2,2109,337,0
2024-09-02,ORD0144,SKU-004,3,7520,1278,0
2024-09-09,ORD0145,SKU-001,1,999,139,0
2024-09-09,ORD0146,SKU-002,2,2998,449,0
2024-09-09,ORD0147,SKU-003,3,2397,383,0
2024-09-09,ORD0148,SKU-004,4,7596,1291,0
2024-09-16,ORD0149,SKU-001,2,2077,290,0
2024-09-16,ORD0150,SKU-002,3,4676,701,0
2024-09-16,ORD0151,SKU-003,4,3323,531,0
2024-09-16,ORD0152,SKU-004,1,1974,335,0
2024-09-23,ORD0153,SKU-001,3,3236,453,0
2024-09-23,ORD0154,SKU-002,4,6475,971,0
2024-09-23,ORD0155,SKU-003,1,862,137,0
2024-09-23,ORD0156,SKU-004,2,4101,697,0
2024-09-30,ORD0157,SKU-001,4,4475,626,0
2024-09-30,ORD0158,SKU-002,1,1678,251,0
2024-09-30,ORD0159,SKU-003,2,1789,286,0
2024-09-30,ORD0160,SKU-004,3,6380,1084,0
2024-10-07,ORD0161,SKU-001,1,1158,162,0
2024-10-07,ORD0162,SKU-002,2,3477,521,0
2024-10-07,ORD0163,SKU-003,3,2780,444,0
2024-10-07,ORD0164,SKU-004,4,8811,1497,0
2024-10-14,ORD0165,SKU-001,2,2397,335,0
2024-10-14,ORD0166,SKU-002,3,5396,809,0
2024-10-14,ORD0167,SKU-003,4,3835,613,0
2024-10-14,ORD0168,SKU-004,1,2278,387,182
2024-10-21,ORD0169,SKU-001,3,3716,520,0
2024-10-21,ORD0170,SKU-002,4,7435,1115,0
2024-10-21,ORD0171,SKU-003,1,990,158,79
2024-10-21,ORD0172,SKU-004,2,4709,800,0
2024-10-28,ORD0173,SKU-001,4,5114,715,0
2024-10-28,ORD0174,SKU-002,1,1918,287,153
2024-10-28,ORD0175,SKU-003,2,2045,327,0
2024-10-28,ORD0176,SKU-004,3,7292,1239,0
2024-11-04,ORD0177,SKU-001,1,1318,184,105
2024-11-04,ORD0178,SKU-002,2,3957,593,0
2024-11-04,ORD0179,SKU-003,3,3164,506,0
2024-11-04,ORD0180,SKU-004,4,10026,1704,0
2024-11-11,ORD0181,SKU-001,2,1998,279,0
2024-11-11,ORD0182,SKU-002,3,4497,674,0
2024-11-11,ORD0183,SKU-003,4,3196,511,0
2024-11-11,ORD0184,SKU-004,1,1899,322,0
2024-11-18,ORD0185,SKU-001,3,3116,436,0
2024-11-18,ORD0186,SKU-002,4,6235,935,0
2024-11-18,ORD0187,SKU-003,1,830,132,0
2024-11-18,ORD0188,SKU-004,2,3949,671,0
2024-11-25,ORD0189,SKU-001,4,4315,604,0
2024-11-25,ORD0190,SKU-002,1,1618,242,0
2024-11-25,ORD0191,SKU-003,2,1725,276,0
2024-11-25,ORD0192,SKU-004,3,6152,1045,0
2024-12-02,ORD0193,SKU-001,1,1118,156,0
2024-12-02,ORD0194,SKU-002,2,3357,503,0
2024-12-02,ORD0195,SKU-003,3,2684,429,0
2024-12-02,ORD0196,SKU-004,4,8507,1446,340
2024-12-09,ORD0197,SKU-001,2,2317,324,0
2024-12-09,ORD0198,SKU-002,3,5216,782,0
2024-12-09,ORD0199,SKU-003,4,3707,593,148
2024-12-09,ORD0200,SKU-004,1,2202,374,0
2024-12-16,ORD0201,SKU-001,3,3596,503,0
2024-12-16,ORD0202,SKU-002,4,7195,1079,287
2024-12-16,ORD0203,SKU-003,1,958,153,0
2024-12-16,ORD0204,SKU-004,2,4557,774,0
2024-12-23,ORD0205,SKU-001,4,4955,693,198
2024-12-23,ORD0206,SKU-002,1,1858,278,0
2024-12-23,ORD0207,SKU-003,2,1981,316,0
2024-12-23,ORD0208,SKU-004,3,7064,1200,0
2024-12-30,ORD0209,SKU-001,1,1278,178,0
2024-12-30,ORD0210,SKU-002,2,3837,575,0
2024-12-30,ORD0211,SKU-003,3,3068,490,0
2024-12-30,ORD0212,SKU-004,4,9722,1652,777
2025-01-06,ORD0213,SKU-001,2,2637,369,0
2025-01-06,ORD0214,SKU-002,3,5936,890,0
2025-01-06,ORD0215,SKU-003,4,4218,674,337
2025-01-06,ORD0216,SKU-004,1,2506,426,0
2025-01-13,ORD0217,SKU-001,3,2997,419,0
2025-01-13,ORD0218,SKU-002,4,5996,899,479
2025-01-13,ORD0219,SKU-003,1,799,127,0
2025-01-13,ORD0220,SKU-004,2,3798,645,0
2025-01-20,ORD0221,SKU-001,4,4155,581,332
2025-01-20,ORD0222,SKU-002,1,1558,233,0
2025-01-20,ORD0223,SKU-003,2,1661,265,0
2025-01-20,ORD0224,SKU-004,3,5924,1007,0
2025-01-27,ORD0225,SKU-001,1,1078,150,0
2025-01-27,ORD0226,SKU-002,2,3237,485,0
2025-01-27,ORD0227,SKU-003,3,2588,414,0
2025-01-27,ORD0228,SKU-004,4,8203,1394,0
2025-02-03,ORD0229,SKU-001,2,2237,313,0
2025-02-03,ORD0230,SKU-002,3,5036,755,0
2025-02-03,ORD0231,SKU-003,4,3579,572,0
2025-02-03,ORD0232,SKU-004,1,2126,361,0
2025-02-10,ORD0233,SKU-001,3,3476,486,0
2025-02-10,ORD0234,SKU-002,4,6955,1043,0
2025-02-10,ORD0235,SKU-003,1,926,148,0
2025-02-10,ORD0236,SKU-004,2,4405,748,0
2025-02-17,ORD0237,SKU-001,4,4795,671,0
2025-02-17,ORD0238,SKU-002,1,1798,269,0
2025-02-17,ORD0239,SKU-003,2,1917,306,0
2025-02-17,ORD0240,SKU-004,3,6836,1162,0
2025-02-24,ORD0241,SKU-001,1,1238,173,0
2025-02-24,ORD0242,SKU-002,2,3717,557,0
2025-02-24,ORD0243,SKU-003,3,2972,475,0
2025-02-24,ORD0244,SKU-004,4,9419,1601,0
2025-03-03,ORD0245,SKU-001,2,2557,357,0
2025-03-03,ORD0246,SKU-002,3,5756,863,0
2025-03-03,ORD0247,SKU-003,4,4090,654,0
2025-03-03,ORD0248,SKU-004,1,2430,413,0
2025-03-10,ORD0249,SKU-001,3,3956,553,0
2025-03-10,ORD0250,SKU-002,4,7914,1187,0
2025-03-10,ORD0251,SKU-003,1,1054,168,0
2025-03-10,ORD0252,SKU-004,2,5013,852,0
2025-03-17,ORD0253,SKU-001,4,3996,559,0
2025-03-17,ORD0254,SKU-002,1,1499,224,0
2025-03-17,ORD0255,SKU-003,2,1598,255,0
2025-03-17,ORD0256,SKU-004,3,5697,968,455
2025-03-24,ORD0257,SKU-001,1,1038,145,0
2025-03-24,ORD0258,SKU-002,2,3117,467,0
2025-03-24,ORD0259,SKU-003,3,2492,398,199
2025-03-24,ORD0260,SKU-004,4,7899,1342,0
2025-03-31,ORD0261,SKU-001,2,2157,301,0
2025-03-31,ORD0262,SKU-002,3,4856,728,388
2025-03-31,ORD0263,SKU-003,4,3451,552,0
2025-03-31,ORD0264,SKU-004,1,2050,348,82
2025-04-07,ORD0265,SKU-001,3,3356,469,268
2025-04-07,ORD0266,SKU-002,4,6715,1007,0
2025-04-07,ORD0267,SKU-003,1,894,143,35
2025-04-07,ORD0268,SKU-004,2,4253,723,0
2025-04-14,ORD0269,SKU-001,4,4635,648,0
2025-04-14,ORD0270,SKU-002,1,1738,260,69
2025-04-14,ORD0271,SKU-003,2,1853,296,0
2025-04-14,ORD0272,SKU-004,3,6608,1123,0
2025-04-21,ORD0273,SKU-001,1,1198,167,47
2025-04-21,ORD0274,SKU-002,2,3597,539,0
2025-04-21,ORD0275,SKU-003,3,2876,460,0
2025-04-21,ORD0276,SKU-004,4,9115,1549,0
2025-04-28,ORD0277,SKU-001,2,2477,346,0
2025-04-28,ORD0278,SKU-002,3,5576,836,0
2025-04-28,ORD0279,SKU-003,4,3963,634,0
2025-04-28,ORD0280,SKU-004,1,2354,400,0
2025-05-05,ORD0281,SKU-001,3,3836,537,0
2025-05-05,ORD0282,SKU-002,4,7674,1151,0
2025-05-05,ORD0283,SKU-003,1,1022,163,0
2025-05-05,ORD0284,SKU-004,2,4861,826,0
2025-05-12,ORD0285,SKU-001,4,5274,738,0
2025-05-12,ORD0286,SKU-002,1,1978,296,0
2025-05-12,ORD0287,SKU-003,2,2109,337,0
2025-05-12,ORD0288,SKU-004,3,7520,1278,0
2025-05-19,ORD0289,SKU-001,1,999,139,0
2025-05-19,ORD0290,SKU-002,2,2998,449,0
2025-05-19,ORD0291,SKU-003,3,2397,383,0
2025-05-19,ORD0292,SKU-004,4,7596,1291,0
2025-05-26,ORD0293,SKU-001,2,2077,290,0
2025-05-26,ORD0294,SKU-002,3,4676,701,0
2025-05-26,ORD0295,SKU-003,4,3323,531,0
2025-05-26,ORD0296,SKU-004,1,1974,335,0
2025-06-02,ORD0297,SKU-001,3,3236,453,0
2025-06-02,ORD0298,SKU-002,4,6475,971,0
2025-06-02,ORD0299,SKU-003,1,862,137,0
2025-06-02,ORD0300,SKU-004,2,4101,697,328
2025-06-09,ORD0301,SKU-001,4,4475,626,0
2025-06-09,ORD0302,SKU-002,1,1678,251,0
2025-06-09,ORD0303,SKU-003,2,1789,286,143
2025-06-09,ORD0304,SKU-004,3,6380,1084,0
2025-06-16,ORD0305,SKU-001,1,1158,162,0
2025-06-16,ORD0306,SKU-002,2,3477,521,278
2025-06-16,ORD0307,SKU-003,3,2780,444,0
2025-06-16,ORD0308,SKU-004,4,8811,1497,0
2025-06-23,ORD0309,SKU-001,2,2397,335,191
2025-06-23,ORD0310,SKU-002,3,5396,809,0
2025-06-23,ORD0311,SKU-003,4,3835,613,0
2025-06-23,ORD0312,SKU-004,1,2278,387,0
2025-06-30,ORD0313,SKU-001,3,3716,520,0
2025-06-30,ORD0314,SKU-002,4,7435,1115,0
2025-06-30,ORD0315,SKU-003,1,990,158,0
2025-06-30,ORD0316,SKU-004,2,4709,800,0
2025-07-07,ORD0317,SKU-001,4,5114,715,0
2025-07-07,ORD0318,SKU-002,1,1918,287,0
2025-07-07,ORD0319,SKU-003,2,2045,327,0
2025-07-07,ORD0320,SKU-004,3,7292,1239,0
2025-07-14,ORD0321,SKU-001,1,1318,184,0
2025-07-14,ORD0322,SKU-002,2,3957,593,0
2025-07-14,ORD0323,SKU-003,3,3164,506,0
2025-07-14,ORD0324,SKU-004,4,10026,1704,0
2025-07-21,ORD0325,SKU-001,2,1998,279,0
2025-07-21,ORD0326,SKU-002,3,4497,674,0
2025-07-21,ORD0327,SKU-003,4,3196,511,0
2025-07-21,ORD0328,SKU-004,1,1899,322,0
2025-07-28,ORD0329,SKU-001,3,3116,436,0
2025-07-28,ORD0330,SKU-002,4,6235,935,0
2025-07-28,ORD0331,SKU-003,1,830,132,0
2025-07-28,ORD0332,SKU-004,2,3949,671,157
2025-08-04,ORD0333,SKU-001,4,4315,604,0
2025-08-04,ORD0334,SKU-002,1,1618,242,0
2025-08-04,ORD0335,SKU-003,2,1725,276,69
2025-08-04,ORD0336,SKU-004,3,6152,1045,0
2025-08-11,ORD0337,SKU-001,1,1118,156,0
2025-08-11,ORD0338,SKU-002,2,3357,503,134
2025-08-11,ORD0339,SKU-003,3,2684,429,0
2025-08-11,ORD0340,SKU-004,4,8507,1446,0
2025-08-18,ORD0341,SKU-001,2,2317,324,92
2025-08-18,ORD0342,SKU-002,3,5216,782,0
2025-08-18,ORD0343,SKU-003,4,3707,593,0
2025-08-18,ORD0344,SKU-004,1,2202,374,176
2025-08-25,ORD0345,SKU-001,3,3596,503,0
2025-08-25,ORD0346,SKU-002,4,7195,1079,0
2025-08-25,ORD0347,SKU-003,1,958,153,76
2025-08-25,ORD0348,SKU-004,2,4557,774,0
2025-09-01,ORD0349,SKU-001,4,4955,693,0
2025-09-01,ORD0350,SKU-002,1,1858,278,148
2025-09-01,ORD0351,SKU-003,2,1981,316,0
2025-09-01,ORD0352,SKU-004,3,7064,1200,0
2025-09-08,ORD0353,SKU-001,1,1278,178,102
2025-09-08,ORD0354,SKU-002,2,3837,575,0
2025-09-08,ORD0355,SKU-003,3,3068,490,0
2025-09-08,ORD0356,SKU-004,4,9722,1652,0
2025-09-15,ORD0357,SKU-001,2,2637,369,0
2025-09-15,ORD0358,SKU-002,3,5936,890,0
2025-09-15,ORD0359,SKU-003,4,4218,674,0
2025-09-15,ORD0360,SKU-004,1,2506,426,0
2025-09-22,ORD0361,SKU-001,3,2997,419,0
2025-09-22,ORD0362,SKU-002,4,5996,899,0
2025-09-22,ORD0363,SKU-003,1,799,127,0
2025-09-22,ORD0364,SKU-004,2,3798,645,0
2025-09-29,ORD0365,SKU-001,4,4155,581,0
2025-09-29,ORD0366,SKU-002,1,1558,233,0
2025-09-29,ORD0367,SKU-003,2,1661,265,0
2025-09-29,ORD0368,SKU-004,3,5924,1007,0
2025-10-06,ORD0369,SKU-001,1,1078,150,0
2025-10-06,ORD0370,SKU-002,2,3237,485,0
2025-10-06,ORD0371,SKU-003,3,2588,414,0
2025-10-06,ORD0372,SKU-004,4,8203,1394,0
2025-10-13,ORD0373,SKU-001,2,2237,313,0
2025-10-13,ORD0374,SKU-002,3,5036,755,0
2025-10-13,ORD0375,SKU-003,4,3579,572,0
2025-10-13,ORD0376,SKU-004,1,2126,361,0
2025-10-20,ORD0377,SKU-001,3,3476,486,0
2025-10-20,ORD0378,SKU-002,4,6955,1043,0
2025-10-20,ORD0379,SKU-003,1,926,148,0
2025-10-20,ORD0380,SKU-004,2,4405,748,0
2025-10-27,ORD0381,SKU-001,4,4795,671,0
2025-10-27,ORD0382,SKU-002,1,1798,269,0
2025-10-27,ORD0383,SKU-003,2,1917,306,0
2025-10-27,ORD0384,SKU-004,3,6836,1162,0
2025-11-03,ORD0385,SKU-001,1,1238,173,0
2025-11-03,ORD0386,SKU-002,2,3717,557,0
2025-11-03,ORD0387,SKU-003,3,2972,475,0
2025-11-03,ORD0388,SKU-004,4,9419,1601,753
2025-11-10,ORD0389,SKU-001,2,2557,357,0
2025-11-10,ORD0390,SKU-002,3,5756,863,0
2025-11-10,ORD0391,SKU-003,4,4090,654,327
2025-11-10,ORD0392,SKU-004,1,2430,413,0
2025-11-17,ORD0393,SKU-001,3,3956,553,0
2025-11-17,ORD0394,SKU-002,4,7914,1187,633
2025-11-17,ORD0395,SKU-003,1,1054,168,0
2025-11-17,ORD0396,SKU-004,2,5013,852,0
2025-11-24,ORD0397,SKU-001,4,3996,559,319
2025-11-24,ORD0398,SKU-002,1,1499,224,0
2025-11-24,ORD0399,SKU-003,2,1598,255,0
2025-11-24,ORD0400,SKU-004,3,5697,968,227
2025-12-01,ORD0401,SKU-001,1,1038,145,0
2025-12-01,ORD0402,SKU-002,2,3117,467,0
2025-12-01,ORD0403,SKU-003,3,2492,398,99
2025-12-01,ORD0404,SKU-004,4,7899,1342,0
2025-12-08,ORD0405,SKU-001,2,2157,301,0
2025-12-08,ORD0406,SKU-002,3,4856,728,194
2025-12-08,ORD0407,SKU-003,4,3451,552,0
2025-12-08,ORD0408,SKU-004,1,2050,348,0
2025-12-15,ORD0409,SKU-001,3,3356,469,134
2025-12-15,ORD0410,SKU-002,4,6715,1007,0
2025-12-15,ORD0411,SKU-003,1,894,143,0
2025-12-15,ORD0412,SKU-004,2,4253,723,0
2025-12-22,ORD0413,SKU-001,4,4635,648,0
2025-12-22,ORD0414,SKU-002,1,1738,260,0
2025-12-22,ORD0415,SKU-003,2,1853,296,0
2025-12-22,ORD0416,SKU-004,3,6608,1123,0
2025-12-29,ORD0417,SKU-001,1,1198,167,0
2025-12-29,ORD0418,SKU-002,2,3597,539,0
2025-12-29,ORD0419,SKU-003,3,2876,460,0
2025-12-29,ORD0420,SKU-004,4,9115,1549,0
2026-01-05,ORD0421,SKU-001,2,2477,346,0
2026-01-05,ORD0422,SKU-002,3,5576,836,0
2026-01-05,ORD0423,SKU-003,4,3963,634,0
2026-01-05,ORD0424,SKU-004,1,2354,400,0
2026-01-12,ORD0425,SKU-001,3,3836,537,0
2026-01-12,ORD0426,SKU-002,4,7674,1151,0
2026-01-12,ORD0427,SKU-003,1,1022,163,0
2026-01-12,ORD0428,SKU-004,2,4861,826,0
2026-01-19,ORD0429,SKU-001,4,5274,738,0
2026-01-19,ORD0430,SKU-002,1,1978,296,0
2026-01-19,ORD0431,SKU-003,2,2109,337,0
2026-01-19,ORD0432,SKU-004,3,7520,1278,601
2026-01-26,ORD0433,SKU-001,1,999,139,0
2026-01-26,ORD0434,SKU-002,2,2998,449,0
2026-01-26,ORD0435,SKU-003,3,2397,383,191
2026-01-26,ORD0436,SKU-004,4,7596,1291,0
2026-02-02,ORD0437,SKU-001,2,2077,290,0
2026-02-02,ORD0438,SKU-002,3,4676,701,374
2026-02-02,ORD0439,SKU-003,4,3323,531,0
2026-02-02,ORD0440,SKU-004,1,1974,335,0
2026-02-09,ORD0441,SKU-001,3,3236,453,258
2026-02-09,ORD0442,SKU-002,4,6475,971,0
2026-02-09,ORD0443,SKU-003,1,862,137,0
2026-02-09,ORD0444,SKU-004,2,4101,697,0
2026-02-16,ORD0445,SKU-001,4,4475,626,0
2026-02-16,ORD0446,SKU-002,1,1678,251,0
2026-02-16,ORD0447,SKU-003,2,1789,286,0
2026-02-16,ORD0448,SKU-004,3,6380,1084,0
2026-02-23,ORD0449,SKU-001,1,1158,162,0
2026-02-23,ORD0450,SKU-002,2,3477,521,0
2026-02-23,ORD0451,SKU-003,3,2780,444,0
2026-02-23,ORD0452,SKU-004,4,8811,1497,0
2026-03-02,ORD0453,SKU-001,2,2397,335,0
2026-03-02,ORD0454,SKU-002,3,5396,809,0
2026-03-02,ORD0455,SKU-003,4,3835,613,0
2026-03-02,ORD0456,SKU-004,1,2278,387,0
2026-03-09,ORD0457,SKU-001,3,3716,520,0
2026-03-09,ORD0458,SKU-002,4,7435,1115,0
2026-03-09,ORD0459,SKU-003,1,990,158,0
2026-03-09,ORD0460,SKU-004,2,4709,800,0
2026-03-16,ORD0461,SKU-001,4,5114,715,0
2026-03-16,ORD0462,SKU-002,1,1918,287,0
2026-03-16,ORD0463,SKU-003,2,2045,327,0
2026-03-16,ORD0464,SKU-004,3,7292,1239,0
2026-03-23,ORD0465,SKU-001,1,1318,184,0
2026-03-23,ORD0466,SKU-002,2,3957,593,0
2026-03-23,ORD0467,SKU-003,3,3164,506,0
2026-03-23,ORD0468,SKU-004,4,10026,1704,401
2026-03-30,ORD0469,SKU-001,2,1998,279,0
2026-03-30,ORD0470,SKU-002,3,4497,674,0
2026-03-30,ORD0471,SKU-003,4,3196,511,127
2026-03-30,ORD0472,SKU-004,1,1899,322,0
2026-04-06,ORD0473,SKU-001,3,3116,436,0
2026-04-06,ORD0474,SKU-002,4,6235,935,249
2026-04-06,ORD0475,SKU-003,1,830,132,0
2026-04-06,ORD0476,SKU-004,2,3949,671,315
2026-04-13,ORD0477,SKU-001,4,4315,604,172
2026-04-13,ORD0478,SKU-002,1,1618,242,0
2026-04-13,ORD0479,SKU-003,2,1725,276,138
2026-04-13,ORD0480,SKU-004,3,6152,1045,0
2026-04-20,ORD0481,SKU-001,1,1118,156,0
2026-04-20,ORD0482,SKU-002,2,3357,503,268
2026-04-20,ORD0483,SKU-003,3,2684,429,0
2026-04-20,ORD0484,SKU-004,4,8507,1446,0
